,index,Feature name,Coefficients,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
125,125,"mths_since_earliest_cr_line:(235.0, 260.0]",-0.03046451784026911,mths_since_earliest_cr_line,-0.5320603313493234,-1.0,-0.4679396686506766,-1.0
108,108,Region:NorthWestEngland,-0.07734669730011594,Region,-1.350853790302823,-1.0,0.35085379030282304,-1.0
91,91,"nr_accounts:(1.999, 15.0]",-0.06958750178432996,nr_accounts,-1.2153400704146895,-1.0,0.2153400704146895,-1.0
113,113,Region:Others,-0.046673565681842874,Region,-0.8151500362533346,-1.0,-0.1848499637466654,-1.0
118,118,emp_length:10,-0.05265631835299657,emp_length,-0.9196383260495196,-1.0,-0.08036167395048044,-1.0
115,115,emp_length:1,-0.037327931235335,emp_length,-0.6519292892075411,-1.0,-0.3480707107924589,-1.0
116,116,emp_length:5-6,-0.050640496666077936,emp_length,-0.8844321639068397,-1.0,-0.11556783609316035,-1.0
14,14,purpose:debt_consolidation,-0.1395640175105957,purpose,-2.43747423774997,-2.0,0.43747423774996985,-2.0
85,85,credit_card_usage: >=86,-0.10173502843250125,credit_card_usage,-1.776794013988284,-2.0,-0.22320598601171593,-2.0
39,39,"last_delinquency_months:(-0.001, 14.0]",-0.09224429964337374,last_delinquency_months,-1.6110392060255945,-2.0,-0.3889607939744055,-2.0
18,18,purpose:other,-0.10601334839497617,purpose,-1.8515145248720606,-2.0,-0.14848547512793941,-2.0
75,75,open_accounts: >=17,-0.1385655731157556,open_accounts,-2.4200364874353957,-2.0,0.4200364874353957,-2.0
15,15,purpose:educational,-0.09250649970427201,purpose,-1.6156185088070398,-2.0,-0.38438149119296017,-2.0
17,17,purpose:moving,-0.17418499015327932,purpose,-3.042126714854114,-3.0,0.04212671485411379,-3.0
131,131,"mths_since_issue_d:(91.0, 132.0]",-0.16261893079440784,mths_since_issue_d,-2.840126426940391,-3.0,-0.1598735730596088,-3.0
79,79,"debt_to_income:(23.37, 57.14]",-0.15483076361460868,debt_to_income,-2.7041067192918273,-3.0,-0.29589328070817267,-3.0
109,109,Region:NorthernIreland,-0.179432011334098,Region,-3.133765513889137,-3.0,0.13376551388913693,-3.0
61,61,delinquency_2y:15.0,-0.22734113071802237,delinquency_2y,-3.97049439526243,-4.0,-0.029505604737570135,-4.0
16,16,purpose:medical,-0.23807858160245132,purpose,-4.158023103426153,-4.0,0.158023103426153,-4.0
114,114,emp_length:0,-0.22902500519647126,emp_length,-3.999903126352535,-4.0,-9.687364746513438e-05,-4.0
54,54,delinquency_2y:7.0,-0.2867495282474299,delinquency_2y,-5.008057236078087,-5.0,0.008057236078086838,-5.0
120,120,income_category:<= 22400,-0.312410409444285,income_category,-5.456222443349713,-5.0,0.45622244334971285,-5.0
63,63,delinquency_2y:17.0,-0.311243323590464,delinquency_2y,-5.435839383642256,-5.0,0.4358393836422563,-5.0
71,71,inquiries_6m: 5-6,-0.2871954760336503,inquiries_6m,-5.015845677967927,-5.0,0.015845677967926797,-5.0
101,101,year:2011,-0.3065147803605656,year,-5.3532557599364585,-5.0,0.3532557599364585,-5.0
11,11,"interest_rate:(17.27, 28.99]",-0.35327144971866303,interest_rate,-6.1698571951502545,-6.0,0.16985719515025455,-6.0
102,102,year:2012,-0.331281995168515,year,-5.785813156262577,-6.0,-0.2141868437374228,-6.0
55,55,delinquency_2y:8.0,-0.427109255857614,delinquency_2y,-7.459428486131511,-7.0,0.459428486131511,-7.0
104,104,year:2014,-0.44522511760394745,year,-7.775820541110693,-8.0,-0.22417945888930735,-8.0
20,20,purpose:small_business,-0.5922707336056949,purpose,-10.343960289245437,-10.0,0.3439602892454374,-10.0
103,103,year:2013,-0.6076024966893447,year,-10.61172828705938,-11.0,-0.3882717129406199,-11.0
57,57,delinquency_2y:10.0,-0.7238619586527162,delinquency_2y,-12.642190353751294,-13.0,-0.3578096462487057,-13.0
3,3,installment: >=503,-0.988271197645639,installment,-17.260076251306476,-17.0,0.2600762513064758,-17.0
6,6,"loan_amount:(14400.0, 20000.0]",-1.0788914252661834,loan_amount,-18.84275117127534,-19.0,-0.1572488287246614,-19.0
7,7,"loan_amount:(20000.0, 35000.0]",-3.083760451190106,loan_amount,-53.857625978683565,-54.0,-0.14237402131643506,-54.0
95,95,"amount_payed:(-0.001, 5846.471]",-3.615269314984923,amount_payed,-63.14038514357553,-63.0,0.14038514357552856,-63.0
